,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
0,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(2, 1, 2)","(3, 1, 2)"
1,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
2,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
3,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
4,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
5,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 1, 4)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
6,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 1, 4)","(0, 1, 1)","(0, 1, 0)","(0, 1, 0)"
7,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 1, 4)","(0, 1, 0)","(2, 1, 3)","(0, 1, 0)"
8,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(3, 1, 2)","(0, 1, 0)","(2, 1, 3)","(0, 1, 0)"
9,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
10,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
11,"(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(2, 1, 2)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
