,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
0,"(1, 0, 1)","(2, 0, 0)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
1,"(1, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 1, 1)","(2, 0, 1)","(1, 0, 1)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)"
2,"(1, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)"
3,"(0, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 1)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)"
4,"(0, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 1)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 2)"
5,"(0, 1, 0)","(2, 0, 0)","(2, 0, 0)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)"
6,"(0, 1, 0)","(2, 0, 0)","(1, 1, 1)","(2, 0, 1)","(1, 0, 2)","(1, 0, 0)","(0, 0, 2)","(4, 1, 0)","(1, 1, 1)","(1, 0, 0)"
7,"(2, 0, 0)","(1, 0, 1)","(0, 1, 0)","(2, 0, 1)","(1, 0, 0)","(0, 1, 1)","(1, 1, 1)","(1, 0, 0)","(0, 1, 3)","(1, 0, 0)"
8,"(2, 0, 0)","(1, 0, 1)","(2, 0, 0)","(0, 1, 3)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
9,"(1, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)","(0, 1, 3)","(0, 1, 0)","(1, 0, 0)","(1, 0, 1)"
10,"(0, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(3, 0, 1)","(0, 1, 1)","(2, 0, 1)","(1, 0, 0)","(1, 1, 0)"
11,"(1, 1, 0)","(2, 0, 0)","(1, 0, 0)","(3, 0, 1)","(1, 0, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 1, 0)"
12,"(1, 1, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 1, 1)","(0, 1, 0)","(2, 0, 0)"
13,"(1, 1, 0)","(2, 0, 0)","(1, 0, 0)","(2, 0, 1)","(2, 0, 0)","(1, 0, 0)","(1, 0, 1)","(0, 1, 3)","(1, 0, 0)","(1, 1, 1)"
14,"(2, 0, 0)","(2, 0, 0)","(3, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(2, 0, 2)","(0, 1, 0)","(1, 0, 0)"
15,"(1, 1, 0)","(0, 1, 0)","(2, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(0, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 1)"
16,"(2, 1, 2)","(2, 0, 0)","(2, 0, 4)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
17,"(1, 1, 0)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 0, 0)"
18,"(2, 0, 0)","(2, 0, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 1)","(1, 0, 0)"
19,"(2, 0, 0)","(1, 1, 0)","(1, 0, 1)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)"
20,"(0, 1, 0)","(2, 0, 0)","(1, 0, 1)","(2, 0, 0)","(1, 0, 0)","(1, 0, 0)","(2, 0, 1)","(1, 1, 1)","(2, 0, 0)","(3, 0, 1)"
21,"(0, 1, 0)","(2, 0, 0)","(1, 0, 2)","(1, 0, 1)","(1, 0, 2)","(1, 0, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)"
22,"(0, 1, 0)","(2, 0, 0)","(2, 0, 1)","(1, 1, 1)","(2, 0, 0)","(1, 0, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 1)","(0, 1, 0)"
23,"(0, 1, 0)","(2, 0, 0)","(1, 0, 1)","(1, 0, 0)","(2, 0, 0)","(1, 0, 0)","(1, 1, 1)","(2, 0, 1)","(1, 0, 0)","(1, 0, 0)"
